Papel,Cotacao,PL,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PAtivCircLiq,EVEBIT,EVEBITDA,MargEBIT,MargLiq,LiqCorr,ROIC,ROE,Liq2meses,PatrimLiquido,DivBrutaPatrim,CrescRec5a
PMET3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,10%","0,00","-290.863.000,00","0,00","37,74%"
MNSA3,"0,42","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
MNSA4,"0,47","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
IVTT3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-0,40%","0,00","1.083.050.000,00","0,00","20,67%"
CSTB4,"147,69","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CSTB3,"150,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CFLU4,"1.000,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,88%","10,72%","1,10","17,68%","32,15%","0,00","60.351.000,00","0,06","8,14%"
PORP4,"2,40","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,08%","0,00","22.399.000,00","0,00","13,66%"
POPR4,"10,17","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,66%","5,65%","1,08","15,25%","19,93%","0,00","545.803.000,00","0,82","30,93%"
CLAN3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-1,05%","0,00","1.012.240.000,00","0,00","-63,96%"
GNDI3,"66,95","-3.584,82","5,84","3,423","2,39%","2,378","79,65","87,05","-6,21","91,13","50,88","3,93%","-0,09%","1,17","3,09%","-0,16%","0,00","7.116.080.000,00","0,53","25,23%"
POSI3,"4,19","-1.500,36","0,37","0,174","10,82%","0,134","0,50","2,58","5,85","4,91","3,72","6,73%","0,14%","1,69","7,78%","-0,02%","6.018.960,00","1.596.430.000,00","0,84","0,49%"
AGRO3,"21,41","-1.394,08","1,06","2,159","3,52%","0,589","5,41","94,46","-3,77","148,95","35,29","2,29%","-0,15%","1,61","0,67%","-0,08%","3.837.160,00","2.078.030.000,00","0,64","-11,84%"
PLDN4,"486,00","-553,07","1,08","0,919","0,00%","0,611","1,07","-75,56","3,10","-33,12","-33,12","-1,22%","-0,17%","10,81","-1,27%","-0,20%","0,00","289.939.000,00","0,01","10,26%"
CBEE3,"9,98","-500,68","0,46","0,463","3,52%","0,211","-2,02","3,25","-0,67","6,16","4,10","14,26%","-0,09%","0,68","7,34%","-0,09%","2.583,33","9.884.100.000,00","0,44","4,14%"
LCSA4,"35,09","-337,52","-228,00","79,738","0,00%","125,308","-202,27","-505,80","-96,61","-506,56","-506,56","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
BHGR3,"19,10","-272,16","1,10","3,613","0,00%","0,855","-194,45","23,70","-8,56","25,95","14,20","15,24%","-1,31%","0,96","3,93%","-0,40%","0,00","1.077.600.000,00","0,20","20,67%"
DMMO3,"1,76","-258,65","-1,72","2,854","0,00%","3,346","11,90","6,37","-1,37","5,90","5,42","44,81%","-1,10%","2,25","70,39%","0,66%","0,00","-553.275.000,00","0,00","-17,37%"
WDCN3,"2,59","-238,21","0,26","0,187","7,34%","0,114","0,50","1,12","-2,11","-0,28","-0,12","16,61%","-0,07%","1,84","12,67%","-0,11%","77.215,50","642.573.000,00","0,00","-6,96%"
RJCP3,"0,01","-224,70","0,65","0,000","0,00%","0,619","0,00","-522,94","0,00","-523,96","-917,32","0,00%","0,00%","0,00","0,00%","-0,29%","0,00","17.287.200,00","0,00","0,00%"
ABYA3,"4,91","-214,80","1,76","2,055","0,00%","0,527","1,98","19,96","-2,75","33,67","33,67","10,29%","-0,96%","2,09","2,78%","-0,82%","0,00","292.060.000,00","1,31","16,41%"
PITI4,"1,28","-204,74","0,00","0,000","0,00%","0,000","0,00","-2.637,65","0,00","-2.637,65","111,07","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","-29,63%"
GOLL4,"0,79","-189,23","-60,87","44,173","0,00%","35,579","-192,97","-2.431,67","-27,99","-2.463,64","405,91","-1,82%","-23,34%","0,63","-1,83%","32,16%","0,00","-15.618.800.000,00","-0,99","31,73%"
DTCY3,"2,50","-169,68","22,50","3,364","0,00%","3,808","8,72","-110,87","27,52","-96,44","40,01","-3,03%","-1,98%","1,82","-7,06%","-13,26%","408,62","1.237.000,00","0,00","-8,86%"
LCSA3,"12,50","-120,23","-81,22","28,405","0,00%","44,638","-72,05","-180,18","-34,41","-180,95","-180,95","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
MAGG3,"59,40","-119,98","1,32","0,684","0,00%","0,440","9,32","4,07","-1,55","6,41","5,34","16,82%","-0,57%","1,14","14,05%","-1,10%","0,00","2.246.130.000,00","1,03","9,27%"
SQIA3,"27,37","-110,33","3,70","3,592","0,00%","1,490","25,87","62,33","-3,84","67,32","18,50","5,76%","-2,88%","1,43","2,81%","-3,35%","0,00","650.717.000,00","0,65","46,32%"
LAND3,"8,98","-92,07","1,32","9,581","0,81%","1,013","-79,96","15,10","-5,71","15,87","15,06","63,46%","-10,41%","0,82","6,88%","-1,44%","441.864,00","652.360.000,00","0,10","-10,56%"
LINX3,"37,40","-90,95","4,38","7,885","1,52%","2,745","11,96","53,17","47,06","51,49","22,97","14,83%","-8,67%","2,14","6,82%","-4,81%","0,00","1.619.010.000,00","0,22","15,54%"
BNCA3,"70,30","-90,30","2,45","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,72%","0,00","3.068.150.000,00","0,00","2,41%"
AMIL3,"32,20","-73,28","7,70","1,129","0,00%","2,003","-16,95","136,58","-5,43","138,61","50,13","0,83%","-1,53%","0,75","2,22%","-10,51%","0,00","1.532.980.000,00","1,24","28,47%"
BRTP3,"35,71","-67,26","2,45","1,168","0,00%","0,684","8,98","6,03","-2,40","7,55","7,55","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
IDVL11,"140,00","-66,00","60,56","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,76%","0,00","237.683.000,00","0,00","0,00%"
AURA33,"136,96","-64,77","20,34","5,819","0,59%","3,360","-392,68","11,10","-6,51","11,36","11,36","52,42%","-8,98%","0,97","42,98%","-31,41%","145.860.000,00","1.462.190.000,00","1,55","21,82%"
PEFX5,"19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","0,00","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%"
PEFX3,"19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","0,00","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%"
TUPY4,"48,21","-50,14","2,07","0,638","0,00%","0,647","1,77","13,11","-9,26","17,82","9,84","4,87%","-1,29%","2,45","7,03%","-4,13%","0,00","3.081.650.000,00","1,28","10,95%"
MTIG4,"23,00","-49,52","-359,15","56,001","0,00%","36,906","-50,93","-94,31","-44,00","-95,57","-104,60","-59,38%","-113,09%","0,27","-47,80%","725,28%","0,00","-7.835.380,00","-4,95","-26,54%"
SCLO3,"14,10","-48,69","-0,10","0,000","0,00%","0,240","-0,09","-29,24","-0,09","-87,63","-87,63","0,00%","0,00%","0,18","-0,83%","0,21%","0,00","-131.423.000,00","-0,21","0,00%"
TOYB4,"2,50","-47,96","-5,43","5,256","0,00%","4,405","-6,47","-9,04","-3,83","-9,15","-9,67","-58,16%","-10,96%","0,49","-59,36%","11,31%","0,00","-13.852.000,00","-0,07","-26,99%"
IMBI3,"5,01","-46,42","2,81","2.659,020","0,00%","0,518","-2,21","-97,12","-0,37","-104,72","-107,45","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%"
CLAN4,"3,00","-44,92","0,47","15,151","0,00%","0,406","-15,50","-82,56","-6,36","-97,43","22,68","-18,35%","-33,73%","0,73","-0,50%","-1,05%","0,00","1.012.240.000,00","0,08","-63,96%"
TOYB3,"2,29","-43,94","-4,97","4,815","0,00%","4,035","-5,93","-8,28","-3,50","-8,39","-8,87","-58,16%","-10,96%","0,49","-59,36%","11,31%","0,00","-13.852.000,00","-0,07","-26,99%"
EBTP3,"10,21","-43,56","1,17","0,548","0,00%","0,353","-502,47","6,42","-0,73","8,46","2,85","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%"
PCAR4,"72,11","-42,95","16,81","1,852","0,00%","1,921","-28,91","22,34","-3,39","23,66","13,71","8,29%","-4,26%","0,83","12,17%","-39,13%","0,00","2.106.000.000,00","1,95","-17,25%"
EBTP4,"10,00","-42,66","1,14","0,537","0,00%","0,346","-492,13","6,29","-0,71","8,33","2,81","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%"
BAHI4,"86,00","-41,84","34,34","6,666","0,00%","5,101","-22,30","1.042,55","-7,61","1.057,48","145,62","0,64%","-16,19%","0,33","0,51%","-82,07%","0,00","66.699.000,00","0,72","7,52%"
PCAR5,"67,12","-39,98","15,64","1,724","0,00%","1,788","-26,91","20,80","-3,15","22,12","12,81","8,29%","-4,26%","0,83","12,17%","-39,13%","0,00","2.106.000.000,00","1,95","-17,25%"
UCAS3,"1,41","-39,80","0,51","0,392","0,00%","0,243","7,11","-7,67","-1,02","-13,50","23,76","-5,11%","-0,98%","1,14","-3,69%","-1,28%","76.394,90","183.135.000,00","0,61","1,75%"
FBRA4,"34,58","-39,57","1,66","0,457","0,00%","0,738","18,94","7,40","-4,43","10,62","10,62","6,18%","-1,15%","1,11","11,94%","-4,20%","0,00","213.406.000,00","0,77","12,48%"
BRTP4,"20,81","-39,19","1,43","0,681","0,00%","0,399","5,23","3,51","-1,40","5,03","5,03","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
HBSA3,"3,96","-38,23","2,49","2,404","0,00%","0,830","4,89","8,87","-2,02","13,18","8,17","27,10%","-6,29%","2,97","11,60%","-6,52%","9.116.160,00","2.162.050.000,00","1,72","11,94%"
GPAR3,"14,05","-37,90","1,52","31,955","0,00%","1,438","3,21","-66,97","3,49","-52,22","-58,73","-47,72%","-84,39%","30,03","-3,22%","-4,00%","473,69","738.921.000,00","0,01","-45,75%"
AZTE3,"0,27","-37,28","0,36","29,784","0,00%","0,347","-12,98","-17,77","-9,31","-18,11","-19,89","-167,57%","-79,90%","0,14","-1,98%","-0,97%","1.010.030,00","252.553.000,00","0,01","0,00%"
ITEC3,"40,10","-35,12","22,04","2.611,690","0,00%","9,216","25,42","-26,00","-68,91","-24,80","-29,56","-10.044,70%","-7.435,88%","5,23","-63,06%","-62,76%","0,00","20.143.000,00","0,00","-74,79%"
MAPT4,"3,87","-33,55","-0,55","0,000","0,00%","4,601","-508,08","-39,96","-0,49","-39,96","-39,96","0,00%","0,00%","0,00","-11,51%","1,63%","219,18","-6.504.000,00","0,00","0,00%"
APER3,"46,75","-32,82","2,02","2,677","0,00%","1,015","115,28","14,43","-4,33","15,41","11,57","18,55%","-8,24%","1,03","8,33%","-6,15%","0,00","472.202.000,00","0,40","42,20%"
IMBI4,"3,50","-32,43","1,96","1.857,600","0,00%","0,362","-1,54","-67,85","-0,26","-75,44","-77,41","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%"
PRTX3,"2,77","-32,27","-145,32","297,651","0,00%","1,400","-2,57","-97,11","-1,43","-128,99","37,19","-306,50%","-922,47%","0,05","-1,50%","450,37%","0,00","-18.917.000,00","-49,85","307,96%"
BAHI5,"65,00","-31,62","25,95","5,038","0,00%","3,856","-16,85","787,97","-5,75","802,91","110,57","0,64%","-16,19%","0,33","0,51%","-82,07%","0,00","66.699.000,00","0,72","7,52%"
DFVA3,"9,90","-31,38","60,69","4,327","0,00%","5,365","29,10","-55,91","-31,47","-58,28","-58,28","-7,74%","-13,79%","1,33","-10,35%","-193,42%","0,00","1.170.000,00","2,84","3,39%"
ASTA4,"25,83","-30,79","1,00","0,652","0,00%","0,446","2,57","19,90","-3,30","33,20","33,20","3,28%","-2,12%","1,71","2,52%","-3,25%","0,00","515.672.000,00","0,85","-4,73%"
VGOR4,"5,87","-29,58","7,18","1,229","0,00%","1,468","113,97","27,32","-3,22","34,09","34,09","4,50%","-4,59%","1,04","6,00%","-24,29%","0,00","135.178.000,00","1,89","4,77%"
CRBM3,"90,00","-28,95","3,26","1,498","0,00%","1,172","2,98","-15,45","16,90","-14,17","-14,17","-9,70%","-5,18%","2,24","-12,71%","-11,28%","0,00","827.347.000,00","0,45","-1,58%"
MAPT3,"3,00","-26,01","-0,42","0,000","0,00%","3,567","-393,86","-30,98","-0,38","-30,98","-30,98","0,00%","0,00%","0,00","-11,51%","1,63%","0,00","-6.504.000,00","0,00","0,00%"
DFVA4,"8,00","-25,35","49,04","3,497","0,00%","4,335","23,51","-45,18","-25,43","-47,55","-47,55","-7,74%","-13,79%","1,33","-10,35%","-193,42%","0,00","1.170.000,00","2,84","3,39%"
CLSA3,"10,51","-24,46","3,06","4,148","0,00%","2,300","7,91","-13,18","8,04","-10,92","-16,07","-31,48%","-16,96%","2,19","-30,79%","-12,52%","0,00","644.827.000,00","0,00","-0,03%"
CRPG3,"19,61","-23,66","1,02","0,748","0,00%","0,618","1,72","-14,69","2,55","-12,60","-62,68","-5,09%","-3,16%","2,30","-5,95%","-4,29%","1.142,38","560.276.000,00","0,01","-8,70%"
MODL3,"3,08","-22,99","1,88","0,000","0,71%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-8,17%","0,00","1.154.890.000,00","0,00","-62,37%"
TAMM4,"52,73","-22,74","3,80","0,626","0,00%","0,524","-31,11","9,77","-0,96","18,01","9,66","6,41%","-2,21%","0,95","6,36%","-16,70%","0,00","2.174.310.000,00","4,08","9,79%"
TAMM3,"52,60","-22,68","3,79","0,625","0,00%","0,523","-31,04","9,74","-0,96","17,98","9,65","6,41%","-2,21%","0,95","6,36%","-16,70%","0,00","2.174.310.000,00","4,08","9,79%"
MSPA3,"47,00","-22,68","0,37","1,687","0,26%","0,209","26,02","-31,40","-0,60","-49,11","48,56","-5,37%","-7,44%","1,10","-0,69%","-1,63%","2.651,23","814.013.000,00","0,25","4,31%"
CRPG6,"18,49","-22,31","0,96","0,705","0,00%","0,583","1,63","-13,85","2,40","-11,76","-58,50","-5,09%","-3,16%","2,30","-5,95%","-4,29%","5.053,26","560.276.000,00","0,01","-8,70%"
CRPG5,"17,74","-21,40","0,92","0,676","0,00%","0,559","1,56","-13,29","2,30","-11,20","-55,71","-5,09%","-3,16%","2,30","-5,95%","-4,29%","38.692,50","560.276.000,00","0,01","-8,70%"
MODL11,"8,46","-21,05","1,72","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-8,17%","0,00","1.154.890.000,00","0,00","-62,37%"
MODL4,"2,72","-20,30","1,66","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-8,17%","0,00","1.154.890.000,00","0,00","-62,37%"
MSPA4,"41,00","-19,78","0,32","1,472","0,33%","0,183","22,70","-27,39","-0,52","-45,10","44,60","-5,37%","-7,44%","1,10","-0,69%","-1,63%","1.471,69","814.013.000,00","0,25","4,31%"
MLAS3,"1,23","-19,61","0,33","0,271","4,10%","0,191","0,55","-25,00","0,71","-25,76","60,88","-1,08%","-1,38%","1,99","-1,12%","-1,70%","1.402.680,00","3.036.010.000,00","0,17","-4,13%"
CRBM7,"60,00","-19,30","2,18","0,999","0,00%","0,782","1,99","-10,30","11,26","-9,02","-9,02","-9,70%","-5,18%","2,24","-12,71%","-11,28%","0,00","827.347.000,00","0,45","-1,58%"
WMBY3,"25,39","-19,30","2,87","0,836","0,00%","0,182","1,20","8,62","-1,50","25,02","25,02","9,70%","-7,05%","1,44","2,39%","-14,86%","0,00","212.439.000,00","6,51","-14,48%"
BIOM4,"8,68","-19,26","4,18","8,334","0,00%","2,449","7,76","-23,36","20,56","-23,89","-21,84","-35,68%","-43,27%","2,45","-14,21%","-21,71%","0,00","284.098.000,00","0,36","8,57%"
TDBH4,"0,66","-18,63","1,28","0,906","0,00%","0,811","-6,15","8,73","-5,66","10,23","10,23","10,38%","-4,86%","0,63","10,48%","-6,85%","0,00","554.115.000,00","0,27","35,74%"
TANC4,"43,00","-18,54","3,10","0,511","0,00%","0,428","-25,37","7,96","-0,78","16,20","8,69","6,41%","-2,21%","0,95","6,36%","-16,70%","0,00","2.174.310.000,00","4,08","9,79%"
AURE3,"11,69","-18,49","0,98","0,932","0,49%","0,252","5,96","8,18","-0,46","21,70","10,68","11,40%","-4,23%","1,32","3,50%","-5,31%","53.397.500,00","12.508.800.000,00","1,97","43,43%"
BIOM3,"7,64","-16,95","3,68","7,335","0,00%","2,155","6,83","-20,56","18,10","-21,09","-19,28","-35,68%","-43,27%","2,45","-14,21%","-21,71%","594.087,00","284.098.000,00","0,36","8,57%"
CCIM3,"5,52","-16,44","0,94","0,498","0,00%","0,198","0,53","8,96","-1,09","25,04","38,84","5,55%","-3,03%","2,58","2,38%","-5,75%","0,00","660.347.000,00","1,93","29,98%"
AESB3,"8,11","-15,97","1,82","1,869","0,00%","0,382","-96,21","7,57","-0,65","17,58","10,28","24,69%","-9,01%","0,97","5,77%","-11,37%","0,00","4.216.980.000,00","2,88","19,59%"
TDBH3,"0,56","-15,81","1,08","0,769","0,00%","0,688","-5,22","7,40","-4,80","8,91","8,91","10,38%","-4,86%","0,63","10,48%","-6,85%","0,00","554.115.000,00","0,27","35,74%"
HAPV3,"9,42","-15,26","0,10","0,160","0,00%","0,064","0,78","3,46","-0,35","6,28","4,31","4,61%","-1,05%","1,98","2,12%","-0,64%","120.874.000,00","48.650.300.000,00","0,27","29,88%"
GBIO33,"10,40","-14,97","1,32","1,518","0,00%","0,791","7,57","13,53","17,58","16,06","16,06","11,21%","-10,14%","1,31","7,12%","-8,83%","0,00","838.439.000,00","0,31","-8,99%"
GLOB4,"30,49","-14,87","10,79","0,990","0,00%","0,828","-4,91","13,71","-1,65","17,12","11,48","7,22%","-6,66%","0,71","8,33%","-72,55%","0,00","2.634.000.000,00","3,54","-3,51%"
CVCB3,"2,00","-14,11","2,09","0,706","0,00%","0,294","-2,19","6,61","-1,00","7,49","3,14","10,69%","-5,00%","0,81","5,92%","-14,79%","70.327.400,00","503.499.000,00","0,76","19,94%"
SCAR3,"14,53","-13,72","0,56","2,114","48,87%","0,293","1,63","9,35","-1,36","17,66","10,73","22,61%","-15,03%","3,30","3,51%","-4,06%","718.801,00","1.504.490.000,00","0,70","23,60%"
DOTZ3,"2,86","-13,50","-0,15","0,202","0,00%","0,170","-0,22","1,36","-0,10","3,93","1,94","14,83%","-1,49%","0,35","20,45%","1,13%","38.736,80","-248.748.000,00","-0,46","11,52%"
LECO4,"1,46","-13,48","2,00","0,637","0,00%","0,924","-16,84","-29,69","-3,16","-32,69","-32,69","-2,14%","-4,72%","0,82","-3,48%","-14,82%","0,00","105.928.000,00","0,20","3,58%"
SEDU3,"23,80","-13,36","15,00","3,443","0,00%","1,531","57,90","-22,47","-2,67","-28,68","-69,64","-15,33%","-25,73%","1,09","-8,15%","-112,29%","0,00","415.869.000,00","4,67","10,87%"
TESA3,"48,00","-13,30","1,62","1,007","0,00%","0,523","-11,10","9,41","-1,35","15,25","10,09","10,71%","-7,58%","0,86","6,42%","-12,18%","0,00","858.223.000,00","1,04","15,48%"
TUPY3,"12,75","-13,26","0,55","0,169","0,00%","0,171","0,47","3,47","-2,45","8,17","4,52","4,87%","-1,29%","2,45","7,03%","-4,13%","16.708.200,00","3.081.650.000,00","1,28","10,95%"
NGRD3,"27,57","-12,79","0,57","0,915","0,00%","0,435","1,89","-15,46","3,55","-8,71","3,31","-5,92%","-7,15%","2,83","-3,88%","-4,44%","278.944,00","443.784.000,00","0,04","3,43%"
IGUA3,"8,15","-12,52","-1,44","0,568","0,00%","0,564","-0,65","8,22","-0,60","14,80","5,80","6,91%","-4,53%","0,34","7,61%","11,52%","0,00","-164.188.000,00","-1,33","-7,41%"
FGUI3,"12,00","-12,41","-2,15","16,009","0,00%","25,203","-2,20","-57,76","-2,05","-70,17","-70,17","-27,72%","-129,00%","0,04","-60,74%","17,32%","0,00","-222.024.000,00","-0,46","2,13%"
IGUA6,"8,07","-12,40","-1,43","0,562","0,00%","0,558","-0,64","8,14","-0,59","14,72","5,77","6,91%","-4,53%","0,34","7,61%","11,52%","0,00","-164.188.000,00","-1,33","-7,41%"
IGUA5,"7,98","-12,26","-1,41","0,556","0,00%","0,552","-0,64","8,04","-0,59","14,63","5,73","6,91%","-4,53%","0,34","7,61%","11,52%","0,00","-164.188.000,00","-1,33","-7,41%"
ATED3,"2,15","-11,84","2,82","1,934","0,00%","2,244","5,97","32,09","6,67","30,97","17,29","6,03%","-14,88%","6,02","8,27%","-23,81%","28.501,80","18.149.000,00","0,07","-22,99%"
PRVI3,"10,54","-11,74","1,61","0,919","0,00%","0,565","-250,86","9,71","-1,48","9,87","6,39","9,46%","-7,83%","0,99","6,15%","-13,71%","0,00","525.170.000,00","0,10","16,19%"
MTIG3,"5,21","-11,22","-81,36","12,686","0,00%","8,360","-11,54","-21,36","-9,97","-22,62","-24,76","-59,38%","-113,09%","0,27","-47,80%","725,28%","0,00","-7.835.380,00","-4,95","-26,54%"
CPNY3,"2,35","-11,00","0,42","0,232","0,00%","0,054","0,20","1,21","-0,13","4,21","4,21","19,13%","-2,11%","2,26","5,48%","-3,86%","0,00","398.830.000,00","2,33","20,10%"
ENJU3,"1,01","-10,11","0,68","0,774","0,00%","0,474","1,28","-7,23","1,61","0,09","-0,24","-10,71%","-7,66%","2,60","-14,88%","-6,74%","568.818,00","303.794.000,00","0,00","28,80%"
ECPR4,"90,74","-9,92","1,22","0,000","0,00%","0,624","175,57","-82,97","-1,29","-82,60","-82,72","0,00%","0,00%","2,97","-0,75%","-12,28%","0,00","141.476.000,00","0,00","0,00%"
ECPR3,"90,25","-9,87","1,21","0,000","0,00%","0,621","174,62","-82,52","-1,29","-82,15","-82,27","0,00%","0,00%","2,97","-0,75%","-12,28%","0,00","141.476.000,00","0,00","0,00%"
LWSA3,"3,84","-9,68","0,88","1,467","7,98%","0,600","8,07","13,89","14,14","11,42","6,00","10,56%","-15,15%","1,26","5,02%","-9,14%","25.237.700,00","2.467.890.000,00","0,03","15,33%"
FIEI3,"12,60","-9,07","0,42","23,529","0,00%","0,268","-3,39","-5,81","-0,95","-9,13","-9,77","-405,09%","-259,75%","0,50","-5,21%","-4,63%","2.500,74","72.685.000,00","0,34","-21,87%"
TERI3,"64,28","-8,83","0,29","0,107","0,00%","0,081","7,90","7,20","-0,26","39,56","39,56","1,49%","-1,91%","1,03","1,25%","-3,27%","0,00","3.641.000.000,00","1,43","7,94%"
NATU3,"8,74","-8,65","0,92","0,538","0,00%","0,414","2,56","4,72","-3,17","6,32","4,84","11,41%","-6,22%","1,63","11,61%","-10,65%","73.805.800,00","13.040.800.000,00","0,49","-0,68%"
AALR3,"4,49","-8,50","0,64","0,552","0,00%","0,226","156,44","7,93","-0,61","12,14","6,26","6,96%","-5,70%","1,01","3,13%","-7,54%","322.102,00","1.066.930.000,00","0,46","2,34%"
SEMP3,"16,86","-8,12","1,36","15,081","0,00%","1,201","15,67","-4,42","15,67","-4,07","-4,07","-340,98%","-185,82%","1,64","-30,21%","-16,81%","0,00","118.441.000,00","0,00","-10,37%"
SZPQ4,"6,64","-7,85","2,20","0,855","0,00%","0,744","2,62","-20,31","-3,17","-22,77","-22,77","-4,21%","-10,89%","2,97","-3,77%","-28,00%","0,00","684.467.000,00","0,30","-11,71%"
SIMH3,"11,56","-7,72","1,57","0,114","1,24%","0,059","0,64","0,66","-0,10","6,67","4,14","17,24%","-1,27%","1,37","11,55%","-20,27%","49.240.700,00","3.151.220.000,00","18,23","36,45%"
RCSL4,"1,22","-7,58","-5,71","47,534","0,00%","4,027","-6,65","-48,15","-2,98","-48,13","-53,46","-98,71%","-622,38%","0,37","-8,72%","75,35%","36.145.800,00","-27.182.000,00","0,00","-47,59%"
MEDI3,"11,55","-7,52","1,89","0,374","0,00%","0,824","-10,02","-9,11","-3,31","-6,61","-6,61","-4,11%","-4,98%","0,79","-12,30%","-25,13%","0,00","426.164.000,00","0,02","13,02%"
MNDL3,"17,80","-7,25","1,28","0,177","0,00%","0,123","-1,07","1,98","-0,25","7,77","6,57","8,92%","-2,44%","0,78","6,71%","-17,71%","80.703,70","137.573.000,00","3,78","10,92%"
TCNO3,"1,20","-6,81","-8,40","0,000","0,00%","0,034","-0,08","-2,87","-0,04","-15,11","-17,45","0,00%","0,00%","0,28","-1,59%","123,36%","0,00","-946.000,00","-35,76","-32,39%"
CSNA3,"7,19","-6,13","0,67","0,210","0,00%","0,095","1,19","1,45","-0,19","6,74","4,16","14,46%","-1,92%","1,32","8,61%","-11,00%","128.973.000,00","14.141.900.000,00","3,69","-0,81%"
WEST3,"5,95","-5,76","0,30","0,451","0,00%","0,220","0,55","-1,62","0,66","0,70","1,11","-27,86%","-7,82%","2,97","-25,23%","-5,19%","558.073,00","220.729.000,00","0,03","-17,00%"
BLUT3,"5,14","-5,63","0,46","0,000","0,00%","0,138","-0,76","-42,93","-0,20","-53,97","-53,97","0,00%","0,00%","0,00","-0,33%","-8,24%","3.091,81","56.569.000,00","0,12","0,00%"
BUET3,"24,99","-5,46","-0,97","1,961","0,00%","0,572","-0,67","-13,13","-0,39","-22,60","-36,32","-14,93%","-35,93%","0,11","-5,95%","17,79%","0,00","-124.674.000,00","-0,70","4,55%"
BEEF3,"4,41","-5,41","3,42","0,086","3,73%","0,097","0,60","1,24","-0,29","4,56","3,62","6,92%","-1,57%","1,35","17,04%","-63,09%","84.984.500,00","1.291.830.000,00","20,66","14,53%"
LUPA3,"1,14","-5,29","0,48","0,783","0,00%","0,110","-1,89","-1,82","-0,22","-7,61","-8,89","-42,96%","-14,80%","0,82","-6,34%","-9,00%","223.088,00","113.324.000,00","1,52","-3,01%"
TLCP3,"48,00","-5,02","1,76","0,824","0,00%","0,533","-2,76","-26,61","-1,33","-43,86","-43,86","-3,10%","-16,40%","0,61","-2,52%","-35,04%","0,00","262.979.000,00","1,21","9,09%"
LFFE4,"3,89","-4,91","4,08","0,000","0,00%","3,599","0,00","-26,50","0,00","-23,11","10,90","0,00%","0,00%","0,00","0,00%","-83,10%","0,00","51.892.000,00","0,00","0,00%"
